time,coverage,path_length_m
0.0,0.509,0.0
0.0,0.509,0.0
0.17,0.5094,0.0
0.17,0.5094,0.0
5.0,0.51,0.0
5.0,0.51,0.0
5.18,0.5094,0.0
5.18,0.5094,0.0
10.0,0.51,0.0
10.0,0.51,0.0
10.19,0.5094,0.0
10.19,0.5094,0.0
15.0,0.51,0.0
15.0,0.51,0.0
15.18,0.5094,0.0
15.18,0.5094,0.0
20.0,0.51,0.0
20.0,0.51,0.0
20.17,0.5094,0.0
20.17,0.5094,0.0
25.0,0.51,0.0
25.0,0.51,0.0
25.18,0.5094,0.0
25.18,0.5094,0.0
30.01,0.51,0.0
30.01,0.51,0.0
30.18,0.5094,0.0
30.18,0.5094,0.0
35.0,0.51,0.0
35.01,0.51,0.0
35.18,0.5094,0.0
35.18,0.5094,0.0
40.0,0.51,0.0
40.0,0.51,0.0
40.18,0.5094,0.0
40.18,0.5094,0.0
45.0,0.51,0.0
45.0,0.51,0.0
45.18,0.5095,0.0
45.18,0.5095,0.0
50.0,0.5109,0.102
50.0,0.5109,0.102
50.18,0.5133,0.106
50.18,0.5133,0.106
55.0,0.5114,0.131
55.0,0.5114,0.131
55.18,0.5148,0.131
55.18,0.5148,0.131
60.01,0.5178,0.131
60.01,0.5178,0.131
60.18,0.5156,0.131
60.18,0.5156,0.131
65.01,0.5178,0.131
65.01,0.5178,0.131
65.18,0.5156,0.131
65.18,0.5156,0.131
70.01,0.5178,0.131
70.01,0.5178,0.131
70.18,0.5156,0.131
70.18,0.5156,0.131
75.01,0.5178,0.131
75.01,0.5178,0.131
75.18,0.5156,0.131
75.19,0.5156,0.131
80.0,0.5178,0.131
80.01,0.5178,0.131
80.18,0.5156,0.131
80.18,0.5156,0.131
85.01,0.5178,0.131
85.01,0.5178,0.131
85.18,0.5156,0.131
85.18,0.5156,0.131
90.01,0.5178,0.131
90.01,0.5178,0.131
90.18,0.5156,0.131
90.18,0.5156,0.131
95.03,0.5183,0.131
95.03,0.5183,0.131
95.2,0.5156,0.131
95.21,0.5156,0.131
100.01,0.5184,0.131
100.01,0.5184,0.131
100.18,0.5156,0.131
100.18,0.5156,0.131
105.01,0.5184,0.131
105.01,0.5184,0.131
105.18,0.5156,0.131
105.18,0.5156,0.131
110.01,0.5191,0.131
110.01,0.5191,0.131
110.19,0.5157,0.131
110.19,0.5157,0.131
115.02,0.5191,0.131
115.02,0.5191,0.131
115.2,0.517,0.131
115.2,0.517,0.131
120.03,0.5194,0.205
120.03,0.5194,0.205
120.2,0.517,0.209
120.2,0.517,0.209
125.01,0.5151,0.319
125.01,0.5151,0.319
125.19,0.5173,0.323
125.19,0.5173,0.323
130.01,0.5156,0.412
130.01,0.5156,0.412
130.18,0.5143,0.415
130.19,0.5143,0.415
135.02,0.5129,0.555
135.02,0.5129,0.555
135.19,0.5146,0.557
135.2,0.5146,0.557
140.01,0.5133,0.66
140.01,0.5133,0.66
140.19,0.5144,0.661
140.19,0.5144,0.661
145.03,0.5149,0.759
145.03,0.5149,0.759
145.2,0.5149,0.763
145.2,0.5149,0.763
150.01,0.5152,0.835
150.01,0.5152,0.835
150.19,0.5151,0.839
150.19,0.5151,0.839
155.02,0.5154,0.922
155.02,0.5154,0.922
155.19,0.5157,0.924
155.19,0.5157,0.924
160.02,0.516,1.076
160.02,0.516,1.076
160.2,0.516,1.084
160.2,0.516,1.084
165.01,0.4989,1.317
165.01,0.4989,1.317
165.19,0.5061,1.322
165.19,0.5061,1.322
170.01,0.5005,1.553
170.01,0.5005,1.556
170.19,0.5056,1.561
170.19,0.5056,1.561
175.02,0.5127,1.782
175.02,0.5127,1.782
175.19,0.5126,1.787
175.19,0.5126,1.787
180.02,0.521,2.013
180.02,0.521,2.013
180.19,0.5305,2.021
180.19,0.5305,2.021
185.02,0.5385,2.258
185.02,0.5385,2.258
185.19,0.5411,2.266
185.19,0.5411,2.266
190.02,0.5664,2.5
190.02,0.5664,2.5
190.19,0.566,2.507
190.19,0.566,2.507
195.02,0.5938,2.731
195.02,0.5938,2.731
195.2,0.5931,2.739
195.2,0.5931,2.739
200.03,0.606,2.936
200.03,0.606,2.936
200.2,0.6048,2.944
200.21,0.6048,2.944
205.02,0.6434,3.189
205.02,0.6434,3.189
205.19,0.6392,3.196
205.19,0.6392,3.196
210.02,0.6646,3.396
210.02,0.6646,3.396
210.19,0.6769,3.403
210.19,0.6769,3.403
215.02,0.678,3.616
215.02,0.678,3.616
215.19,0.6801,3.622
215.19,0.6801,3.622
220.02,0.6795,3.762
220.02,0.6795,3.762
220.19,0.6819,3.765
220.19,0.6819,3.765
225.02,0.6798,3.779
225.02,0.6798,3.779
225.2,0.6823,3.779
225.2,0.6823,3.779
230.02,0.6803,3.789
230.02,0.6803,3.789
230.19,0.6826,3.79
230.2,0.6826,3.79
235.03,0.6806,3.94
235.03,0.6806,3.94
235.22,0.6826,3.946
235.22,0.6826,3.946
240.02,0.6811,4.156
240.02,0.6811,4.156
240.2,0.6844,4.165
240.2,0.6844,4.165
245.03,0.6894,4.487
245.03,0.6894,4.487
245.2,0.687,4.5
245.2,0.687,4.5
250.02,0.6967,4.797
250.02,0.6967,4.797
250.21,0.6945,4.81
250.21,0.6945,4.81
255.02,0.7115,5.103
255.03,0.7115,5.103
255.21,0.7153,5.116
255.21,0.7153,5.116
260.02,0.7384,5.405
260.02,0.7384,5.405
260.21,0.7343,5.415
260.21,0.7343,5.415
265.02,0.7513,5.66
265.02,0.7513,5.66
265.2,0.7499,5.675
265.2,0.7499,5.675
