time,coverage,path_length_m
0.0,0.4793,0.0
5.0,0.4793,0.0
10.0,0.4793,0.0
15.0,0.4784,0.037
20.01,0.4916,0.083
25.0,0.5046,0.083
30.01,0.5046,0.083
35.01,0.5046,0.083
40.01,0.5047,0.083
45.01,0.5086,0.083
50.01,0.5086,0.083
55.01,0.5086,0.083
60.01,0.5086,0.083
65.01,0.5088,0.083
70.01,0.5104,0.11
75.01,0.5135,0.367
80.01,0.5187,0.697
85.01,0.5211,1.014
90.01,0.5236,1.339
95.01,0.5308,1.662
100.01,0.5356,1.992
105.01,0.5326,2.293
110.02,0.5328,2.587
115.02,0.5275,2.865
120.01,0.5549,3.133
125.01,0.5897,3.44
130.01,0.6253,3.757
135.01,0.672,4.085
140.01,0.6866,4.412
145.01,0.699,4.709
150.02,0.7082,5.036
155.01,0.72,5.343
160.02,0.7284,5.499
165.02,0.732,5.499
170.02,0.7344,5.499
175.02,0.7355,5.499
180.02,0.7356,5.499
185.02,0.7362,5.499
190.02,0.7367,5.499
195.02,0.7368,5.501
200.02,0.7371,5.814
205.03,0.7322,6.259
210.03,0.733,6.67
215.02,0.7345,7.114
220.02,0.7377,7.572
225.02,0.7402,8.058
230.02,0.743,8.537
235.04,0.7463,8.96
240.03,0.7484,9.366
245.02,0.7522,9.837
250.03,0.757,10.281
255.03,0.7627,10.734
260.03,0.7676,11.116
265.03,0.7715,11.521
270.03,0.7905,11.926
275.03,0.8322,12.023
280.03,0.8757,12.485
285.03,0.884,12.958
290.04,0.8871,13.416
295.03,0.8983,13.894
300.03,0.9109,14.38
305.03,0.9236,14.848
310.03,0.9336,15.348
315.04,0.9359,15.609
