time,coverage,path_length_m,robot_x,robot_y
0.0,0.4793,0.0,0.01,-0.0
5.01,0.4793,0.0,-0.0,-0.0
10.01,0.4793,0.0,0.01,-0.0
15.02,0.4895,0.256,0.048,0.03
20.01,0.5156,0.987,0.024,0.072
27.95,0.5174,1.386,-0.07,0.066
30.02,0.518,1.668,-0.056,0.1
35.01,0.5199,2.523,0.284,0.322
40.02,0.5178,3.813,1.393,1.006
45.02,0.5662,5.102,2.453,1.746
50.02,0.6964,6.353,3.308,2.651
55.02,0.7306,7.192,3.84,3.269
62.95,0.7335,7.192,3.849,3.262
65.03,0.7338,7.192,3.859,3.262
70.02,0.734,7.192,3.848,3.272
75.03,0.7351,7.796,3.35,3.02
80.03,0.7355,9.083,2.783,1.87
85.03,0.7413,10.362,2.201,0.754
90.04,0.7498,11.659,1.521,-0.387
97.98,0.7667,12.933,0.867,-1.464
100.03,0.7776,13.46,0.701,-1.951
105.04,0.8792,14.727,1.209,-3.09
110.04,0.9181,15.552,1.715,-3.702
115.04,0.9288,16.239,1.159,-4.003
120.03,0.9329,17.496,-0.124,-3.917
125.03,0.9336,18.768,-1.378,-3.799
132.95,0.9347,20.053,-2.647,-3.688
135.05,0.9349,20.583,-3.206,-3.669
140.04,0.9362,21.66,-4.268,-3.511
145.03,0.9363,21.66,-4.25,-3.503
150.04,0.9364,21.66,-4.26,-3.504
155.05,0.9365,21.66,-4.25,-3.513
160.06,0.9366,21.66,-4.25,-3.504
167.98,0.9366,22.581,-3.351,-3.59
170.08,0.9366,23.119,-2.779,-3.602
175.05,0.9366,24.372,-1.531,-3.615
180.05,0.9367,25.659,-0.226,-3.63
185.07,0.938,26.946,1.049,-3.513
190.06,0.938,28.225,2.324,-3.45
195.05,0.9379,29.499,3.588,-3.302
202.99,0.9392,30.25,4.32,-3.378
205.08,0.9392,30.25,4.312,-3.38
210.07,0.9393,30.25,4.312,-3.373
215.06,0.9394,30.25,4.302,-3.363
220.06,0.9394,30.25,4.302,-3.383
225.06,0.9394,30.441,4.094,-3.337
230.07,0.9395,31.728,2.944,-2.78
238.02,0.9395,33.02,1.698,-2.507
240.06,0.9395,33.548,1.167,-2.409
245.06,0.9395,33.976,0.814,-2.222
250.07,0.9396,34.186,0.706,-2.039
255.09,0.9397,35.192,1.044,-1.104
260.07,0.9398,36.463,1.771,-0.093
265.09,0.9399,37.75,2.552,0.974
273.0,0.9404,39.027,3.348,1.978
275.07,0.9404,39.559,3.722,2.338
280.08,0.9408,40.849,4.911,2.801
285.07,0.941,41.113,5.154,2.875
290.09,0.9413,41.113,5.163,2.873
295.07,0.9413,41.113,5.165,2.884
300.08,0.9413,41.113,5.149,2.874
308.02,0.9413,41.701,4.584,3.105
310.07,0.9413,42.228,4.088,3.258
315.09,0.9426,43.515,2.862,3.661
320.09,0.9487,44.802,1.64,3.933
325.09,0.9606,46.087,0.339,4.074
330.09,0.9695,47.361,-0.944,4.226
335.1,0.9703,48.653,-2.217,4.375
343.02,0.9707,49.927,-3.486,4.567
345.08,0.971,50.059,-3.588,4.576
350.1,0.9714,50.072,-3.591,4.578
355.09,0.9716,50.072,-3.603,4.588
360.1,0.9716,50.072,-3.603,4.578
365.08,0.9717,50.072,-3.593,4.577
370.1,0.9717,50.072,-3.603,4.587
