time,x,y
0.16,-0.0,-0.0
0.66,0.009,-0.0
1.16,0.01,-0.0
1.66,-0.0,-0.0
2.16,0.01,-0.0
2.66,-0.0,-0.0
3.16,0.01,-0.0
3.66,-0.0,-0.0
4.16,0.01,-0.0
4.66,-0.0,-0.0
5.16,0.01,-0.0
5.66,0.01,-0.0
6.16,-0.0,-0.0
6.66,0.01,-0.0
7.16,-0.0,-0.0
7.66,0.01,-0.0
8.16,-0.0,-0.0
8.66,0.01,-0.0
9.16,-0.0,-0.0
9.66,0.008,-0.0
10.16,0.01,-0.0
10.66,-0.0,-0.0
11.16,0.01,-0.0
11.66,-0.0,-0.0
12.16,0.01,-0.0
12.66,-0.0,-0.0
13.16,-0.01,0.0
13.66,-0.058,-0.003
14.16,-0.063,-0.005
14.66,0.073,0.039
15.16,-0.041,0.013
15.66,-0.094,-0.013
16.16,-0.056,0.001
16.66,0.075,0.067
17.16,-0.031,0.024
17.66,-0.088,0.002
18.16,0.023,0.061
18.66,-0.01,0.056
19.16,-0.061,0.032
19.66,-0.042,0.033
20.16,0.049,0.092
20.66,-0.031,0.064
21.16,-0.076,0.032
21.66,0.019,0.091
22.16,0.077,0.126
25.34,0.022,0.11
25.66,-0.055,0.07
26.16,-0.082,0.055
26.66,-0.06,0.066
27.16,-0.07,0.066
27.66,-0.07,0.066
28.16,-0.056,0.074
28.66,0.075,0.142
29.16,0.022,0.118
29.66,-0.07,0.093
30.16,-0.022,0.115
30.66,0.095,0.18
31.16,-0.014,0.143
31.66,-0.06,0.129
32.16,0.036,0.166
32.66,0.148,0.201
33.16,0.026,0.181
33.66,-0.041,0.162
34.16,0.039,0.195
34.66,0.195,0.275
35.16,0.312,0.337
35.66,0.432,0.4
36.16,0.534,0.466
36.66,0.648,0.525
37.16,0.786,0.615
37.66,0.876,0.671
38.16,0.976,0.74
38.66,1.099,0.811
39.16,1.196,0.879
39.66,1.308,0.951
40.16,1.417,1.021
40.66,1.526,1.092
41.16,1.646,1.162
41.66,1.746,1.231
42.16,1.863,1.3
42.66,1.962,1.371
43.16,2.071,1.447
43.66,2.174,1.521
44.16,2.287,1.6
44.66,2.378,1.682
45.16,2.477,1.77
45.66,2.567,1.853
46.16,2.66,1.944
46.66,2.737,2.022
47.16,2.81,2.099
47.66,2.878,2.174
48.16,2.967,2.273
48.66,3.052,2.367
49.16,3.139,2.464
49.66,3.226,2.56
50.16,3.313,2.657
50.66,3.417,2.773
51.16,3.486,2.851
51.66,3.589,2.965
52.16,3.66,3.045
52.66,3.763,3.16
53.16,3.818,3.241
53.66,3.86,3.29
54.16,3.851,3.269
54.66,3.84,3.269
55.16,3.85,3.27
55.66,3.85,3.27
56.16,3.85,3.27
56.66,3.849,3.273
57.16,3.849,3.263
60.52,3.839,3.262
60.66,3.839,3.262
61.16,3.849,3.262
61.66,3.848,3.262
62.16,3.848,3.262
62.66,3.849,3.262
63.16,3.849,3.252
63.66,3.849,3.252
64.16,3.849,3.252
64.66,3.859,3.262
65.16,3.859,3.262
65.66,3.858,3.262
66.16,3.858,3.262
66.66,3.858,3.272
67.16,3.858,3.272
67.66,3.858,3.272
68.16,3.858,3.272
68.66,3.848,3.272
69.16,3.848,3.272
69.66,3.848,3.272
70.16,3.849,3.272
70.66,3.85,3.271
71.16,3.85,3.271
71.66,3.847,3.273
72.16,3.847,3.263
72.66,3.825,3.276
73.16,3.718,3.302
73.66,3.592,3.266
74.16,3.485,3.184
74.66,3.404,3.099
75.16,3.35,3.02
75.66,3.294,2.908
76.16,3.237,2.794
76.66,3.177,2.676
77.16,3.111,2.561
77.66,3.064,2.444
78.16,3.008,2.327
78.66,2.951,2.21
79.16,2.895,2.093
79.66,2.836,1.974
80.16,2.778,1.861
80.66,2.72,1.744
81.16,2.66,1.626
81.66,2.596,1.498
82.16,2.538,1.382
82.66,2.484,1.285
83.16,2.423,1.154
83.66,2.365,1.047
84.16,2.303,0.936
84.66,2.238,0.82
85.16,2.176,0.709
85.66,2.112,0.596
86.16,2.047,0.483
86.66,1.981,0.371
87.16,1.905,0.249
87.66,1.84,0.14
88.16,1.774,0.028
88.66,1.708,-0.084
89.16,1.642,-0.19
89.66,1.574,-0.301
90.16,1.515,-0.396
90.66,1.441,-0.518
91.16,1.381,-0.616
91.66,1.303,-0.739
92.16,1.242,-0.835
92.66,1.171,-0.947
95.75,1.155,-0.971
96.16,1.091,-1.072
96.66,1.033,-1.162
97.16,0.956,-1.294
97.66,0.895,-1.408
98.16,0.846,-1.506
98.66,0.798,-1.627
99.16,0.755,-1.749
99.66,0.718,-1.871
100.16,0.696,-2.001
100.66,0.692,-2.127
101.16,0.712,-2.25
101.66,0.75,-2.362
102.16,0.803,-2.48
102.66,0.857,-2.581
103.16,0.911,-2.667
103.66,0.982,-2.773
104.16,1.072,-2.903
104.66,1.134,-2.99
105.16,1.211,-3.092
105.66,1.28,-3.195
106.16,1.386,-3.318
106.66,1.452,-3.414
107.16,1.533,-3.5
107.66,1.615,-3.598
108.16,1.695,-3.708
108.66,1.694,-3.693
109.16,1.684,-3.684
109.66,1.715,-3.702
110.16,1.705,-3.701
110.66,1.715,-3.702
111.16,1.713,-3.705
111.66,1.713,-3.705
112.16,1.713,-3.706
112.66,1.684,-3.805
113.16,1.595,-3.903
113.66,1.478,-3.962
114.16,1.375,-3.985
114.66,1.262,-4.0
115.16,1.111,-4.002
115.66,1.005,-4.003
116.16,0.856,-3.991
116.66,0.75,-3.986
117.16,0.623,-3.977
117.66,0.494,-3.967
118.16,0.339,-3.956
118.66,0.21,-3.946
119.16,0.105,-3.936
119.66,-0.032,-3.927
120.16,-0.171,-3.912
120.66,-0.27,-3.907
121.16,-0.406,-3.895
121.66,-0.546,-3.883
122.16,-0.661,-3.873
122.66,-0.789,-3.862
123.16,-0.892,-3.851
123.66,-1.019,-3.838
124.16,-1.176,-3.822
124.66,-1.277,-3.81
125.16,-1.432,-3.792
125.66,-1.561,-3.779
126.16,-1.691,-3.764
126.66,-1.823,-3.75
127.16,-1.949,-3.737
